"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"29-Feb-2024","29-Feb-2024","PE","22,500.00","578.80","661.25","471.60","546.30","518.05","21,982.80","10,76,000","24,80,71,77,142.50","59,71,77,142.50","3,02,700","-3,57,500"
"28-Feb-2024","29-Feb-2024","PE","22,500.00","301.05","611.85","287.90","565.20","608.05","565.20","29,42,000","67,39,99,80,325.00","1,20,49,80,325.00","6,60,200","-1,40,200"
"27-Feb-2024","29-Feb-2024","PE","22,500.00","400.00","419.85","288.75","318.60","318.55","318.60","31,25,000","71,40,11,07,395.00","1,08,86,07,395.00","8,00,400","-1,49,650"
"26-Feb-2024","29-Feb-2024","PE","22,500.00","335.45","432.65","312.65","378.45","378.10","378.45","30,43,850","69,62,25,40,037.50","1,13,59,15,037.50","9,50,050","-1,41,900"
"23-Feb-2024","29-Feb-2024","PE","22,500.00","285.00","329.00","249.20","312.00","315.65","312.00","69,01,150","1,57,29,12,00,702.50","2,01,53,25,702.50","10,91,950","2,33,400"
"22-Feb-2024","29-Feb-2024","PE","22,500.00","454.25","579.15","297.00","315.05","300.00","315.05","14,67,600","33,63,71,95,145.00","61,61,95,145.00","8,58,550","2,34,350"
"21-Feb-2024","29-Feb-2024","PE","22,500.00","357.15","508.20","313.45","461.60","497.00","461.60","11,06,850","25,33,92,49,427.50","43,51,24,427.50","6,24,200","7,700"
"20-Feb-2024","29-Feb-2024","PE","22,500.00","444.25","483.75","353.45","364.85","356.70","364.85","7,46,650","17,10,70,67,295.00","30,74,42,295.00","6,16,500","41,200"
"19-Feb-2024","29-Feb-2024","PE","22,500.00","457.75","505.00","347.85","408.05","412.00","408.05","4,89,400","11,20,89,27,930.00","19,74,27,930.00","5,75,300","20,050"
"16-Feb-2024","29-Feb-2024","PE","22,500.00","500.00","517.80","440.00","470.00","482.20","470.00","3,37,800","7,76,05,24,792.50","16,00,24,792.50","5,55,250","28,250"
"15-Feb-2024","29-Feb-2024","PE","22,500.00","599.00","690.00","531.80","539.65","534.00","539.65","3,12,600","7,22,17,68,857.50","18,82,68,857.50","5,27,000","17,150"
"14-Feb-2024","29-Feb-2024","PE","22,500.00","839.00","917.45","600.00","628.80","628.55","628.80","1,93,850","4,51,46,89,357.50","15,30,64,357.50","5,09,850","-34,550"
"13-Feb-2024","29-Feb-2024","PE","22,500.00","825.00","899.75","699.30","716.05","725.10","716.05","2,20,700","5,13,42,41,580.00","16,84,91,580.00","5,44,400","-1,900"
"12-Feb-2024","29-Feb-2024","PE","22,500.00","700.00","870.05","677.85","840.90","834.05","840.90","1,59,100","3,70,60,18,312.50","12,62,68,312.50","5,46,300","11,200"
"09-Feb-2024","29-Feb-2024","PE","22,500.00","786.00","869.00","699.80","720.50","714.60","720.50","1,85,250","4,30,98,19,397.50","14,16,94,397.50","5,35,100","-12,750"
"08-Feb-2024","29-Feb-2024","PE","22,500.00","576.00","790.00","534.00","752.45","736.05","752.45","6,15,950","14,27,82,11,705.00","41,93,36,705.00","5,47,850","-51,900"
"07-Feb-2024","29-Feb-2024","PE","22,500.00","574.95","694.20","541.70","614.55","586.55","614.55","4,31,050","9,96,15,52,312.50","26,29,27,312.50","5,99,750","2,000"
"06-Feb-2024","29-Feb-2024","PE","22,500.00","745.00","778.80","605.00","633.75","619.20","633.75","3,57,600","8,28,15,92,915.00","23,55,92,915.00","5,97,750","21,500"
"05-Feb-2024","29-Feb-2024","PE","22,500.00","686.95","802.45","596.40","776.05","786.60","776.05","5,09,950","11,82,32,70,675.00","34,93,95,675.00","5,76,250","650"
"02-Feb-2024","29-Feb-2024","PE","22,500.00","726.00","726.00","495.85","654.80","645.40","654.80","7,93,700","18,32,84,18,760.00","47,01,68,760.00","5,75,600","1,09,200"
"01-Feb-2024","29-Feb-2024","PE","22,500.00","780.00","830.00","710.05","817.50","819.35","817.50","2,62,750","6,11,73,40,515.00","20,54,65,515.00","4,66,400","16,500"
"31-Jan-2024","29-Feb-2024","PE","22,500.00","992.95","993.00","776.00","802.50","824.00","802.50","1,38,000","3,22,53,58,250.00","12,03,58,250.00","4,49,900","-4,200"
"30-Jan-2024","29-Feb-2024","PE","22,500.00","715.90","968.30","706.70","951.85","945.70","951.85","2,39,200","5,58,22,95,245.00","20,02,95,245.00","4,54,100","-21,350"
"29-Jan-2024","29-Feb-2024","PE","22,500.00","964.95","968.00","742.05","761.20","748.60","761.20","2,02,550","4,72,06,08,987.50","16,32,33,987.50","4,75,450","51,950"
"25-Jan-2024","29-Feb-2024","PE","22,500.00","1,000.00","1,156.60","975.05","1,055.65","1,041.15","1,055.65","1,65,100","3,89,57,25,785.00","18,09,75,785.00","4,23,500","53,800"
"24-Jan-2024","29-Feb-2024","PE","22,500.00","1,213.60","1,234.90","925.00","942.85","931.65","942.85","87,900","2,06,96,27,235.00","9,18,77,235.00","3,69,700","-950"
"23-Jan-2024","29-Feb-2024","PE","22,500.00","722.00","1,244.20","700.00","1,216.95","1,192.40","1,216.95","2,90,100","6,84,42,39,895.00","31,69,89,895.00","3,70,650","1,30,550"
"20-Jan-2024","29-Feb-2024","PE","22,500.00","752.35","869.00","736.30","852.55","825.30","852.55","65,800","1,53,37,82,130.00","5,32,82,130.00","2,40,100","17,900"
"19-Jan-2024","29-Feb-2024","PE","22,500.00","835.00","873.55","773.10","803.75","793.00","803.75","1,12,300","2,61,96,67,032.50","9,29,17,032.50","2,22,200","40,000"
"18-Jan-2024","29-Feb-2024","PE","22,500.00","975.00","1,104.05","894.20","910.40","897.35","910.40","84,900","1,99,25,48,390.00","8,22,98,390.00","1,82,200","12,100"
"17-Jan-2024","29-Feb-2024","PE","22,500.00","700.00","905.00","622.05","887.55","885.00","887.55","1,45,550","3,38,52,63,410.00","11,03,88,410.00","1,70,100","-26,250"
"16-Jan-2024","29-Feb-2024","PE","22,500.00","545.95","611.75","517.75","570.90","575.00","570.90","1,56,750","3,61,39,75,910.00","8,71,00,910.00","1,96,350","-15,800"
"15-Jan-2024","29-Feb-2024","PE","22,500.00","562.95","593.05","509.95","518.70","515.00","518.70","1,66,200","3,82,97,24,487.50","9,02,24,487.50","2,12,150","37,500"
"12-Jan-2024","29-Feb-2024","PE","22,500.00","756.95","758.00","598.00","623.50","610.00","623.50","1,65,000","3,82,13,21,735.00","10,88,21,735.00","1,74,650","40,550"
"11-Jan-2024","29-Feb-2024","PE","22,500.00","745.05","837.00","743.80","807.65","798.00","807.65","47,000","1,09,48,20,167.50","3,73,20,167.50","1,34,100","22,350"
"10-Jan-2024","29-Feb-2024","PE","22,500.00","860.05","941.00","770.40","786.95","774.90","786.95","60,700","1,41,89,68,380.00","5,32,18,380.00","1,11,750","22,900"
"09-Jan-2024","29-Feb-2024","PE","22,500.00","825.00","869.40","728.00","852.95","846.80","852.95","52,750","1,22,90,75,657.50","4,22,00,657.50","88,850","7,300"
"08-Jan-2024","29-Feb-2024","PE","22,500.00","738.05","904.00","726.40","881.70","895.35","881.70","47,500","1,10,86,66,950.00","3,99,16,950.00","81,550","-3,900"
"05-Jan-2024","29-Feb-2024","PE","22,500.00","736.05","820.05","726.00","734.95","736.20","734.95","24,750","57,56,82,815.00","1,88,07,815.00","85,450","6,050"
"04-Jan-2024","29-Feb-2024","PE","22,500.00","852.00","869.70","752.70","768.30","752.70","768.30","32,250","75,17,04,257.50","2,60,79,257.50","79,400","9,150"
"03-Jan-2024","29-Feb-2024","PE","22,500.00","853.00","925.20","850.00","906.80","910.00","906.80","31,050","72,60,10,617.50","2,73,85,617.50","70,250","13,100"
"02-Jan-2024","29-Feb-2024","PE","22,500.00","762.75","879.00","753.50","825.90","830.00","825.90","42,900","1,00,04,15,642.50","3,51,65,642.50","57,150","-5,100"
"01-Jan-2024","29-Feb-2024","PE","22,500.00","778.50","788.00","664.00","745.95","786.60","745.95","79,650","1,84,90,86,150.00","5,69,61,150.00","62,250","2,500"
